row_id	ind	tyv	ru	split
12499	12514	болганда	в виду	train
34627	34644	көрей дыл	корейский язык	train
29519	29535	ырап чор!	убирайся отсюда!	train
2398	2412	хавырары	лишение	train
27644	27660	бажыңнар аразы	промежуток между домами	train
12807	12822	сагыжынга киирер	внушить	train
35986	36004	бичии оолзуг аажылаашкыннар	мальчишеские поступки	train
20329	20345	эжин хорададыр	озлобить друга	train
16591	16606	метр системазы	метрическая система	train
18604	18620	дөрт чүк	страны света	train
37604	37622	эттээр	наломать бока	train
32334	32350	чалгыгларның калчаалыы	ярость волн	train
22538	22554	хеп	обмундирование	train
14273	14288	үргүлчү	то и дело	train
49258	49279	элезинниг	супесчаный	train
783	797	Сарлык бызаазы	Теленок яка	train
17597	17612	керээ ёзугаар	согласно договору	train
37311	37329	бүзүрелдиг черде	в надежном месте	train
33145	33162	сигенни чыттыр базар	истоптать траву	train
40448	40466	чүс сезен дөрт	сто восемьдесят четыре	train
2779	2793	курлавыр	фонд	train
46060	46080	шаараш мыйыстыг иви	сохатый олень	train
22303	22319	камнаар	оберегать	train
19384	19400	чаа машинаның чоруун хынаар	обкатать новую машину	train
26992	27008	шуушкан кижилер	людской поток	train
4043	4057	Совет аныяктар	Советская молодёжь	train
42028	42046	онза эки	вне конкуренции	train
10139	10154	баня	баня	train
42995	43014	бо сеткүүлдү меңээ берип көрүңер	дайте мне, пожалуйста, этот журнал	train
31121	31137	шериг цензуразы	военная цензура	train
10169	10184	базыышкын көдүрлүп тур	барометр поднимается	train
19154	19170	чыл эрткенде	через год	train
29208	29224	бот-тывынгыр уран чүүл көрүлдези	смотр художественной самодеятельности	train
39704	39722	дагыннаашкын	повторение	train
27262	27278	поезд дем-не чедип келген	поезд уже прибыл	train
9369	9384	какпактаан эът	тушёное мясо	train
17618	17633	ижер сода	питьевая сода	train
14168	14183	концерт көргүзер	дать концерт	train
8905	8920	хол тормозу	ручной тормоз	train
38156	38174	метрден бичии-ле дап	метр с небольшим	train
47199	47220	скульптор	скульптор	train
10836	10851	…-ның ачызында	благодаря тому, что…	train
2250	2264	шынзыдар	доказать	train
13968	13983	гостиницага доктаар	остановиться в гостинице	train
42283	42302	аңгадап тур мен	голова кругом идёт	train
45203	45222	чеди хонуктуң	недельный	train
13634	13649	доскаардан суг агып төгүлген	из бочки вытекла вода	train
16416	16431	алдын ортулук	золотая серединка	train
40207	40225	даңгырактажыр	клясться друг другу	train
48469	48490	сояр	сползать	train
33162	33179	бижимел медээ	письменный документ	train
33426	33443	бүдүн чыл	календарный год	train
2520	2534	дилег кылыры	обращение	train
41563	41581	айтырыгны доозар	исчерпать вопрос	train
19950	19966	ажыглалга киирер тудуг	пусковой объект	train
24581	24597	ону тывызык эвес деп санап болбас	ему нельзя отказать в остроумии	train
42738	42757	бодун алдарлыг кижи кылдыр бодаары	мания величия	train
33272	33289	өрээл ишти аай-баш чоктур	в комнате кавардак	train
12732	12747	вместить	вмещать	train
5773	5787	саргыяк 	 книжка	train
30440	30456	эртем чөвүлели	учёный совет	train
22310	22326	карттаар	обернуть	train
3924	3938	Алдынналчак баш дүгү	Золотистые волосы	train
18086	18102	оорга сөөгү	спинной хребет	train
11624	11639	институтка өөренир	учиться в институте	train
21001	21017	чыттың илези	острота запаха	train
20982	20998	соокка алзырындан кичээнир	остерегаться простуды	train
